setid,appNumbers
616bddd8-1f23-4599-bb15-25a744fdf826,200720
cba5481b-a6dd-49a8-b0fb-462ab49731c2,200513
c56adc6b-249e-479a-80f0-959940263c73,200495
93d40371-68a0-491a-8dd9-d8ccba5f3b64,046699
11ee8981-46eb-4791-8e40-727c991341fe,015030
89338c4d-f2de-4991-87f2-dcea4535e2e2,117532
ecf0cdff-adb3-4427-99a8-158939fc1c94,117532
7bcdb408-a554-4368-b066-03184de92712,200348
2d1c802d-9491-42aa-819b-73a1e836bc65,200350
89b655f6-04df-41f6-bd66-e2a068dda5ff,200350
3e8710f8-d1e2-45ae-ac69-a97e0a35a655,200407
a328c578-bca5-4909-b4a3-aaae369f3945,200189
42186833-4581-4c7e-876f-6ffe37b1f94b,200722|141230
ec7a705e-2745-479f-9330-a6a4983afbcd,200723
ac2448b6-b7e9-47fe-9b32-0b96c7b14672,200266
623f44bf-07c7-4704-8114-5e42e1316fb1,141551
42df9b53-1f26-411c-90e0-7180d7081b83,200688
baf0da35-573e-4abb-bdef-18870d5f5f72,200225
0e3be1f5-9375-4837-b47d-5b3cf364f10f,200364
29aa7bdd-0785-4e30-bceb-addc1a3f442a,200694
e161433d-baa9-4e29-b2ee-232ea40d7756,038661
67eefc16-33e8-422a-a677-dbd0f09b69a4,200437
15c7f574-71ce-4719-9576-2c19742b9779,200436
ad81f5cd-f4c8-4310-b87e-7dacbcc181f6,200272
2846dab1-4dff-4d8d-ba6c-aa5e8bf394ec,200306
055947c6-31d1-42d8-8e5f-232b03869133,141143
5ff7f4c6-f998-4a69-abd2-6a462c7578e8,
e9ee0117-08b4-45d4-9f39-aaeb3594278e,
6be7b0f5-bb20-4357-bc2a-c44791d5d1cb,034025
ae3a3afa-debf-44d1-8378-d3227e3d0488,046109
0c16296c-6a73-4b91-8eea-3458da4dd8eb,097505
c402bfe3-9ceb-4a47-9bfe-55ffd84fc743,097505
676272e8-e602-4db1-9d80-0bbdf8e568f8,200308
32900cc3-d85e-470e-b215-62d63e6b77aa,200476
7904b6d4-9858-46cf-9b60-2864bb047500,
666bf3b5-c99f-4d56-9146-fafe4bc5134c,200703
d2c8788a-b54e-4082-82e3-a1bd7de1e201,200490
0e5b6f2c-e3c1-478c-babb-88852dd0792f,200681
1eb48fef-399d-4fab-99b5-adc30e515125,200777
9c7679bd-31d1-4a62-b7b5-d0c52be1fccd,141098
dd28195e-a481-4d7a-b578-488fe37ecc09,141098
5012fe70-6394-45f5-be75-04297e39574d,141176
606b1dd3-24ed-4f8c-8885-6b22fd7b8883,140441
258967db-9587-4c19-b846-ac143dada99a,141068
a1ada9f6-24e2-4287-8b83-00e2b68666e5,140913
12b5d3c7-d539-4bc2-aa47-4516c36967f3,140441
3b8c745e-e47f-4826-9240-918a551c7533,141060
5b4c3e64-5817-4989-a787-8a05f2ddedc0,039417
933980d5-8495-4ff3-b543-349b5994626f,141220
aa2d9a4d-a442-4d1c-a7bd-17b09d8ab718,141247
b9b31948-0fad-4666-bba3-d31e1c38779e,141099
dfb26527-c5ab-44d0-9236-24b1600e0db4,
13c9c37a-0c3d-450a-a61e-d2796818b18f,
dbeb646f-dc6c-40f2-803c-68858d6ac080,
d6851c71-0c2f-43f6-883c-a43fe894985d,
b0c8964f-24a8-4bab-ae8d-1536737e43ec,200237
86b367e3-64e5-4c44-9961-6caea5d12e75,141338
77a42e00-d311-4cae-9130-b75bb4b40864,140915
226e3192-984d-4ff0-9e65-c1e54a78e522,044759
c1aeba99-224d-4957-80ec-87212df5dfaf,141063
87f37539-b83b-42e9-989c-32e63ebecd29,141063
6fe2494d-c954-4971-94b9-fa577f5cebcf,141103
a07f33a7-1009-4e24-9339-ff12c229dbb6,140921
c7db5144-bd2d-4c30-9f28-703b1cc8e03e,141007|133953
9ccf3782-220d-4e8e-95d0-8e79a9a909ae,141007|133953
b61e0ee1-6c3a-4df6-86b7-6fa3153a7a2f,141008
7055fbaf-d3e0-46f7-8dc9-96f4df2da8df,141007
1bc21181-efd2-4238-9c9b-89f334c8dbe7,141064
